,name,target_speed,collision,min_distance,stopped,brake_reaction_time,result
112,Obstructed Pedestrian (Trigger 12.0m),30.0,True,1.593153476715088,False,0.5663661956787109,FAIL (Collision)
113,Obstructed Pedestrian (Trigger 15.0m),30.0,False,3.757021903991699,True,0.31684446334838867,PASS (Stopped)
114,Obstructed Pedestrian (Trigger 18.0m),50.0,True,1.4775378704071045,False,1.4011905193328857,FAIL (Collision)
115,"Oncoming Traffic (Offset 3.5m, 40km/h)",40.0,False,3.491446018218994,False,0.2353219985961914,PASS (Timeout)
116,"Oncoming Traffic (Offset 3.5m, 60km/h)",60.0,False,3.547140598297119,False,0.5450856685638428,PASS (Timeout)
117,"Oncoming Traffic (Offset 1.5m, 30km/h)",30.0,False,2.387054443359375,True,0.5363430976867676,PASS (Stopped)
118,"Oncoming Traffic (Offset 1.0m, 60km/h)",60.0,True,4.5382232666015625,True,0.39995479583740234,FAIL (Collision)
119,"Oncoming Traffic (Offset 0.0m, 50km/h)",50.0,False,7.877380847930908,True,0.370851993560791,PASS (Stopped)
120,"Cut-In (StartDist 15.0m, Offset 3.5m)",30.0,False,14.401032447814941,True,0.6213541030883789,PASS (Stopped)
121,"Cut-In (StartDist 8.0m, Offset 3.5m)",30.0,False,8.528738021850586,True,0.6144497394561768,PASS (Stopped)
122,"Cut-In (StartDist 5.0m, Offset 3.5m)",50.0,False,6.258514404296875,False,0.6076347827911377,PASS (Timeout)
123,"Cut-In (StartDist 5.0m, Offset 3.5m)",30.0,False,5.78800106048584,True,0.5964891910552979,PASS (Stopped)
124,"Cut-In (StartDist 10.0m, Offset 3.5m)",25.0,False,7.791162490844727,True,0.6070113182067871,PASS (Stopped)
125,"Obstacle on Curve (Dist 40.0m, 30.0km/h)",30.0,False,7.615529537200928,True,0.6273410320281982,PASS (Stopped)
126,"Obstacle on Curve (Dist 60.0m, 50.0km/h)",50.0,True,4.148587226867676,True,1.8375859260559082,FAIL (Collision)
127,"Obstacle on Curve (Dist 25.0m, 30.0km/h)",30.0,True,4.163679122924805,True,0.6331963539123535,FAIL (Collision)
128,"Obstacle on Curve (Dist 60.0m, 30.0km/h)",30.0,False,6.019636154174805,True,0.6970250606536865,PASS (Stopped)
