==================================================
RAPORT KOŃCOWY
==================================================
                                                      name            result  min_distance  brake_reaction_time  stopped
74                  Oncoming Traffic (Offset 1.5m, 30km/h)  FAIL (Collision)      4.683233             0.236934     True
75                  Oncoming Traffic (Offset 1.0m, 60km/h)  FAIL (Collision)      4.693365             0.582702     True
76                  Oncoming Traffic (Offset 0.0m, 50km/h)    PASS (Stopped)      7.896233             0.773170     True
77                   Cut-In (StartDist 15.0m, Offset 3.5m)    PASS (Stopped)      9.823706             0.668982     True
78                    Cut-In (StartDist 8.0m, Offset 3.5m)    PASS (Stopped)      7.059773             0.596164     True
79                    Cut-In (StartDist 5.0m, Offset 3.5m)    PASS (Timeout)      6.497530             0.663737    False
80                    Cut-In (StartDist 5.0m, Offset 3.5m)    PASS (Stopped)      5.940559             0.225441     True
81                   Cut-In (StartDist 10.0m, Offset 3.5m)    PASS (Stopped)      7.534196             0.589294     True
82                Obstacle on Curve (Dist 40.0m, 30.0km/h)    PASS (Stopped)      7.037253             1.780505     True
83                Obstacle on Curve (Dist 60.0m, 50.0km/h)  FAIL (Collision)      4.143208             1.738614     True
84                Obstacle on Curve (Dist 25.0m, 30.0km/h)    PASS (Stopped)      7.717069             0.850995     True
85                Obstacle on Curve (Dist 60.0m, 30.0km/h)    PASS (Stopped)      6.103930             1.733855     True
86                             False Positive - Empty Road    PASS (Timeout)           inf             3.471575    False
87                   Lead Vehicle Braking (Start Dist 10m)    PASS (Stopped)      9.611897             0.243428     True
88                   Lead Vehicle Braking (Start Dist 10m)    PASS (Timeout)     10.220348             0.239682    False
89                   Lead Vehicle Braking (Start Dist 20m)    PASS (Stopped)     11.432801             0.237987     True
90                   Lead Vehicle Braking (Start Dist 15m)    PASS (Stopped)      8.516654             0.238370     True
91                   Lead Vehicle Braking (Start Dist 25m)  FAIL (Collision)      4.535869             0.237283     True
92                                    Stationary Car @ 10m    PASS (Stopped)      7.508939             0.240793     True
93                                    Stationary Car @ 20m    PASS (Stopped)     13.659601             0.241450     True
94                                    Stationary Car @ 30m  FAIL (Collision)      4.543968             0.242931     True
95                                    Stationary Car @ 40m    PASS (Stopped)     18.774199             0.553890     True
96                                    Stationary Car @ 50m    PASS (Stopped)     12.271341             0.309695     True
97                                    Stationary Car @ 30m  FAIL (Collision)      4.554110             0.239935     True
98                                    Stationary Car @ 40m  FAIL (Collision)      4.618295             0.319218     True
99                                    Stationary Car @ 80m    PASS (Stopped)     12.952310             0.389614     True
100                                  Stationary Car @ 100m    PASS (Stopped)     12.390749             0.932369     True
101                                   Stationary Car @ 60m  FAIL (Collision)      4.693993             0.253888     True
102                                  Stationary Car @ 120m  FAIL (Collision)      4.578486             1.476446     True
103  Suicidal Homing Pedestrian (Trigger 40m, Stop @ 2.5m)  FAIL (Collision)      2.551796             2.239299     True
104  Suicidal Homing Pedestrian (Trigger 15m, Stop @ 2.5m)    PASS (Stopped)      3.635620             0.523553     True
105  Suicidal Homing Pedestrian (Trigger 25m, Stop @ 2.5m)    PASS (Timeout)      1.548030             1.133008    False
106                    Pedestrian Crossing (Trigger 12.0m)    PASS (Stopped)      3.822794             1.138119     True
107                    Pedestrian Crossing (Trigger 20.0m)    PASS (Timeout)      6.161368             0.704867    False
108                    Pedestrian Crossing (Trigger 10.0m)  FAIL (Collision)      2.287976             1.048563    False
109                    Pedestrian Crossing (Trigger 15.0m)    PASS (Timeout)      4.611408             0.733998    False
110                    Pedestrian Crossing (Trigger 17.0m)    PASS (Timeout)      4.323818             1.070313    False
111                  Obstructed Pedestrian (Trigger 10.0m)  FAIL (Collision)      1.516517             0.392961    False
112                  Obstructed Pedestrian (Trigger 12.0m)  FAIL (Collision)      1.593153             0.566366    False
113                  Obstructed Pedestrian (Trigger 15.0m)    PASS (Stopped)      3.757022             0.316844     True
114                  Obstructed Pedestrian (Trigger 18.0m)  FAIL (Collision)      1.477538             1.401191    False
115                 Oncoming Traffic (Offset 3.5m, 40km/h)    PASS (Timeout)      3.491446             0.235322    False
